Balanced?;Pelvis;Left Hip;Left Knee;Right Hip;Right Knee
(0.1236, -0.4986, 0);(-3.807, 0.8, -2.079);(-3.557, 0.8, -2.079);(-4.111, 0.5457, -2.13);(-3.861, 0.5457, -2.13);(-3.786, 0.4719, -2.134);(-3.536, 0.4719, -2.134)
(-0.1071, -0.4175, 0);(-3.707, 0, -2.179);(-3.457, 0, -2.179);(-4.098, 0.07943, -2.212);(-3.848, 0.07943, -2.212);(-3.946, -0.1686, -2.048);(-3.696, -0.1686, -2.048)
(-0.1304, -0.4288, 0);(-3.707, 0.1, -2.179);(-3.457, 0.1, -2.179);(-4.086, 0.222, -2.215);(-3.836, 0.222, -2.215);(-3.965, -0.06719, -2.1);(-3.715, -0.06719, -2.1)
(-0.08927, -0.4685, 0);(-3.707, 0.2, -2.179);(-3.457, 0.2, -2.179);(-4.102, 0.2523, -2.213);(-3.852, 0.2523, -2.213);(-3.929, -0.01959, -2.125);(-3.679, -0.01959, -2.125)
(-0.04217, -0.4959, 0);(-3.707, 0.3, -2.179);(-3.457, 0.3, -2.179);(-4.105, 0.2773, -2.212);(-3.855, 0.2773, -2.212);(-3.883, 0.03699, -2.146);(-3.633, 0.03699, -2.146)
(-0.00374, -0.5075, 0);(-3.707, 0.4, -2.179);(-3.457, 0.4, -2.179);(-4.097, 0.3188, -2.213);(-3.847, 0.3188, -2.213);(-3.842, 0.1115, -2.156);(-3.592, 0.1115, -2.156)
(0.02443, -0.5147, 0);(-3.707, 0.5, -2.179);(-3.457, 0.5, -2.179);(-4.086, 0.3773, -2.212);(-3.836, 0.3773, -2.212);(-3.81, 0.1942, -2.173);(-3.56, 0.1942, -2.173)
(0.0443, -0.5179, 0);(-3.707, 0.6, -2.179);(-3.457, 0.6, -2.179);(-4.076, 0.4484, -2.208);(-3.826, 0.4484, -2.208);(-3.787, 0.2837, -2.185);(-3.537, 0.2837, -2.185)
(0.0582, -0.5181, 0);(-3.707, 0.7, -2.179);(-3.457, 0.7, -2.179);(-4.067, 0.5283, -2.203);(-3.817, 0.5283, -2.203);(-3.77, 0.3781, -2.187);(-3.52, 0.3781, -2.187)
(0.06801, -0.5174, 0);(-3.707, 0.8, -2.179);(-3.457, 0.8, -2.179);(-4.061, 0.6144, -2.197);(-3.811, 0.6144, -2.197);(-3.758, 0.4749, -2.187);(-3.508, 0.4749, -2.187)
(-0.06291, -0.3587, 0);(-3.707, 0, -2.079);(-3.457, 0, -2.079);(-4.1, 0.04989, -2.133);(-3.85, 0.04989, -2.133);(-3.899, -0.1298, -2.33);(-3.649, -0.1298, -2.33)
(-0.0774, -0.4048, 0);(-3.707, 0.1, -2.079);(-3.457, 0.1, -2.079);(-4.095, 0.1851, -2.129);(-3.845, 0.1851, -2.129);(-3.911, -0.05838, -2.264);(-3.661, -0.05837, -2.264)
(-0.05269, -0.4539, 0);(-3.707, 0.2, -2.079);(-3.457, 0.2, -2.079);(-4.102, 0.2367, -2.132);(-3.852, 0.2367, -2.132);(-3.889, -0.01191, -2.199);(-3.639, -0.01191, -2.199)
(-0.01844, -0.475, 0);(-3.707, 0.3, -2.079);(-3.457, 0.3, -2.079);(-4.103, 0.2762, -2.133);(-3.853, 0.2762, -2.133);(-3.855, 0.05446, -2.166);(-3.605, 0.05446, -2.166)
(0.01146, -0.4829, 0);(-3.707, 0.4, -2.079);(-3.457, 0.4, -2.079);(-4.096, 0.3251, -2.131);(-3.846, 0.3251, -2.131);(-3.823, 0.1343, -2.151);(-3.573, 0.1343, -2.151)
(0.03427, -0.4849, 0);(-3.707, 0.5, -2.079);(-3.457, 0.5, -2.079);(-4.087, 0.3868, -2.128);(-3.837, 0.3868, -2.128);(-3.797, 0.2224, -2.142);(-3.547, 0.2224, -2.142)
(0.0508, -0.4847, 0);(-3.707, 0.6, -2.079);(-3.457, 0.6, -2.079);(-4.079, 0.4591, -2.124);(-3.829, 0.4591, -2.124);(-3.778, 0.3152, -2.135);(-3.528, 0.3152, -2.135)
(0.06262, -0.4839, 0);(-3.707, 0.7, -2.079);(-3.457, 0.7, -2.079);(-4.071, 0.5393, -2.12);(-3.821, 0.5393, -2.12);(-3.763, 0.4106, -2.129);(-3.513, 0.4106, -2.129)
(0.07108, -0.483, 0);(-3.707, 0.8, -2.079);(-3.457, 0.8, -2.079);(-4.065, 0.6252, -2.115);(-3.815, 0.6252, -2.115);(-3.753, 0.5075, -2.123);(-3.503, 0.5075, -2.123)
